SAMPLE ID,SIO2,TIO2,AL2O3,MNO,MGO,CAO,NA2O,K2O,P2O5,class
M198946,71.7,0.62,13.3,0.08,1.23,1.45,0.33,5.78,0.2,Sand
M198948,68.9,0.37,11.4,0.15,0.44,5.65,4.12,1.09,0.12,Sand
M198949,72,0.34,12.4,0.06,0.85,2.06,3.39,2.14,0.1,Sand
M198951,72.8,0.51,13.1,0.08,0.79,1.17,3.62,2.04,0.12,Sand
M199164,62.9,0.81,9.89,0.12,2.37,7.16,1.4,1.36,0.18,Sand
M199166,71.7,0.89,11.5,0.05,2.51,0.33,1.39,1.75,0.22,Sand
M199221,69.9,0.66,13.1,0.08,1.81,0.82,2.03,1.87,0.19,Sand
M199231,72.3,0.52,10.7,0.2,1.72,1.46,1.64,1.21,0.19,Sand
M199314,81.7,0.18,2.69,0.06,1.13,5.7,0.63,0.59,0.06,Sand
M199315,44.4,0.09,1.86,0.02,0.89,28,0.31,0.74,0.07,Sand
M199316,76.3,0.31,4.11,0.03,2.48,5.72,1.05,0.88,0.08,Sand
M199317,33.8,0.13,2,0.02,1.57,33,0.35,0.56,0.1,Sand
M199318,74.6,0.22,3.63,0.02,1.86,7.9,0.17,1.37,0.16,Sand
M199319,79.7,0.14,2.48,0.12,2.2,5.64,0.89,0.17,0.08,Sand
M199320,79.7,0.34,3.37,0.04,2.12,4.78,0.76,0.85,0.08,Sand
M199321,81.4,0.15,2.33,0.06,0.38,7.13,1.01,0.13,0.07,Sand
M199322,91.1,0.21,2.83,0.04,0.28,1.02,0.55,0.9,0.1,Sand
M199323,76.7,0.2,3.2,0.03,1.36,7.85,0.61,1.16,0.09,Sand
M199324,81.6,0.46,4.52,0.07,1.23,2.94,0.92,0.95,0.2,Sand
M199325,69.9,0.46,3.42,0.11,1.05,10.3,0.55,0.99,0.46,Sand
M199330,42.4,0.17,1.49,0.02,0.72,29.4,0.29,0.37,0.21,Sand
M199331,76.1,0.23,1.97,0.09,0.16,10.5,0.54,0.18,0.12,Sand
M199332,70.2,0.33,4.34,0.04,1.5,9.91,0.78,1.06,0.16,Sand
M199333,73.5,0.21,1.98,0.02,0.38,11.9,0.48,0.25,0.88,Sand
M199334,34.6,0.14,1.22,0.02,0.25,34.8,0.45,0.07,0.49,Sand
M199337,80.7,0.24,3.32,0.02,1.03,6.04,0.32,1.23,0.13,Sand
M199339,84.1,0.67,4.17,0.03,0.52,2.69,0.69,1.36,0.13,Sand
M199340,82.1,0.18,2.51,0.03,0.77,6.07,0.44,0.68,0.07,Sand
M199616,85.5,0.53,5.59,0.03,0.98,0.19,0.54,0.67,0.13,Sand
M199642,73.4,0.44,12.4,0.05,1.25,0.73,3.12,2.12,0.1,Sand
M199643,71.1,0.58,12.6,0.06,1.76,1.37,2.93,1.88,0.14,Sand
M199644,68.7,0.67,13.6,0.06,2.37,0.46,2.58,1.65,0.14,Sand
M199646,67.5,0.57,14.6,0.09,1.9,2.31,4.03,1.48,0.15,Sand
M199647,70.3,0.59,12.7,0.08,1.85,1.47,3.35,1.69,0.14,Sand
M199696,74,0.48,9.68,0.1,1.97,2.22,2.08,1.32,0.18,Sand
M200339,7.89,0.35,2.42,0.07,0.37,44.2,0.99,0.67,27.5,Sand
M200729,45.3,1.67,11.1,0.17,14.1,8.31,1.45,0.13,0.17,Sand
M147841,69.4,0.39,14.6,0.03,1.39,2.17,3.67,2.14,0.08,Sand
M147842,74.4,0.44,12.5,0.04,1.51,0.92,4.04,1.27,0.08,Sand
M148152,48.7,0.18,6.65,0.09,6.62,12.8,2.2,0.83,0.14,Sand
M152724,62.9,0.95,17,0.08,1.98,0.44,1.04,5.48,0.12,Sand
W165847,72.6,0.52,12.7,0.04,0.7,0.58,1.4,5.5,0.21,Sand
W165848,66.8,0.52,14.1,0.09,1.1,6.2,2.9,2.8,0.18,Sand
W169716,67.7,1,13.7,0.05,2.3,0.42,2,4.5,0.13,Sand
W169994,69.9,0.63,13.7,0.05,1.8,1.5,3.4,2,0.11,Sand
W169995,71.4,0.54,12.2,0.09,2.5,3.3,2.8,1.2,0.08,Sand
W169996,64,0.9,13.4,0.15,2.9,3.9,3.7,0.7,0.17,Sand
W170913,62,0.68,17.9,0.02,1.5,1.3,0.65,3.5,0.15,Sand
W170914,60.2,0.61,13.2,0.04,2.7,5.7,0.68,2.7,0.15,Sand
W171424,66.8,0.83,14.2,0.05,2.4,1,2.1,4,0.17,Sand
W171901,68.2,0.65,13.7,0.06,2,2.1,4,1.7,0.16,Sand
W171905,66.1,0.52,11.7,0.18,2.4,3.5,4.2,1.5,0.13,Sand
W171972,69.9,0.84,12.7,0.05,2.4,0.36,1.3,2.6,0.15,Sand
W171974,59.2,0.48,8.4,0.17,2.6,9.6,1.5,1.5,0.12,Sand
W171975,67.7,0.43,4.8,0.81,1,5.5,0.02,1.3,4.1,Sand
W171978,78.5,0.41,6.2,0.25,1.5,1.5,0.76,1.1,0.04,Sand
W171979,82.9,0.45,5.3,0.02,1.1,0.81,0.12,0.98,0.27,Sand
W172433,67.8,0.86,13.4,0.05,1.3,1.1,1.4,5.6,0.18,Sand
W172508,94.5,0.03,1.5,0.02,0.07,0.87,0.05,0.21,0.08,Sand
W172509,94.2,0.11,2.1,0.05,0.08,0.15,0.06,0.31,0.07,Sand
W172510,24.5,0.09,1.3,0.08,0.4,39.8,0.18,0.38,0.12,Sand
W172515,84,0.36,6.6,0.03,1,0.17,0.46,1.7,0.08,Sand
W172516,80.4,0.64,8,0.06,1.4,0.2,0.58,1.8,0.1,Sand
W172521,76.4,0.27,5.9,0.1,0.36,0.02,0.03,0.48,0.22,Sand
W172522,32,0.35,6.5,0.07,0.66,1.7,0.06,0.21,1.6,Sand
W172701,70.1,0.41,13,0.05,0.62,4.1,1.2,0.49,0.05,Sand
W172702,65.9,0.58,14.4,0.08,1.8,3.2,2.1,1.2,0.08,Sand
W172705,58.2,0.11,14.3,0.37,2.8,5.8,2.8,0.82,0.33,Sand
W172706,57.6,0.89,17.2,0.09,0.77,5,2.9,1.8,0.33,Sand
W173335,64.1,0.85,16.2,0.12,1.9,1.8,3.1,1.8,0.15,Sand
W173339,69.6,0.57,14.6,0.08,1.8,2,3.5,0.88,0.02,Sand
W173455,55.8,0.5,9.9,0.75,3.8,9.4,2.1,0.98,0.09,Sand
W173456,59.3,0.54,10.8,0.56,3.9,6.5,2.2,1,0.09,Sand
W174137,79.9,0.54,11.4,0.07,0.36,0.15,1.4,1.2,0.08,Sand
W174138,77.3,0.8,11.9,0.07,0.46,0.15,0.59,1.4,0.14,Sand
W174139,81.1,0.58,10.5,0.04,0.26,0.11,0.07,1.2,0.06,Sand
W174149,79.1,0.84,11.4,0.04,0.24,0.15,1.3,2,0.03,Sand
W174140,75.5,0.94,11.9,0.07,0.66,0.56,1.2,1.2,0.16,Sand
W174141,78.2,0.87,11.8,0.04,0.4,0.41,1.7,0.9,0.1,Sand
W174142,79.1,1.2,12,0.04,0.26,0.11,1.6,1.2,0.07,Sand
W174143,78,1,12.3,0.04,0.33,0.3,0.43,1.2,0.09,Sand
W174144,85.8,0.49,4.3,0.14,0.56,0.44,0.16,0.54,0.12,Sand
W174145,94.8,0.36,2.7,0.04,0.07,0.11,0.07,0.35,0.09,Sand
W174146,90,0.52,4.7,0.04,0.13,0.15,0.13,0.67,0.05,Sand
W174147,89.2,0.75,5.4,0.04,0.16,0.18,0.1,0.77,0.09,Sand
W174148,77.3,0.54,12.8,0.04,0.2,0.18,1.8,3.6,0.05,Sand
W174150,77.3,0.97,12.9,0.07,0.46,0.18,1.6,1.2,0.07,Sand
W174151,76.4,0.71,11.7,0.1,0.53,0.92,1.2,3.1,0.08,Sand
W174152,72.9,1.5,13.8,0.07,0.73,0.18,2.3,1,0.09,Sand
W174153,83.2,0.33,10.2,0.04,0.36,0.15,1.9,0.58,0.03,Sand
W174154,83.2,0.26,8.2,0.04,0.43,0.7,1.6,0.42,0.03,Sand
W174155,76.4,0.65,13.5,0.04,0.46,0.11,1.7,1.7,0.01,Sand
W174156,74.6,0.8,12.5,0.1,0.53,0.26,1.2,1.9,0.1,Sand
W174157,79.6,0.75,10.6,0.07,0.35,0.35,0.9,2.5,0.07,Sand
W174158,84.1,0.36,9.1,0.04,0.3,0.22,0.86,1.8,0.06,Sand
W174159,87.6,0.2,6.6,0.04,0.16,0.96,0.82,0.51,0.04,Sand
W174160,79.9,0.75,10.4,0.1,0.4,0.44,1.2,1.7,0.1,Sand
W174161,73.7,0.92,12.9,0.1,0.76,0.26,1.2,1.3,0.1,Sand
W174162,75.5,0.87,11.9,0.1,0.5,0.48,1.2,1.1,0.11,Sand
W174163,63.4,0.46,6.9,0.1,0.35,14.3,0.85,0.62,0.08,Sand
W174164,76.4,0.87,11.6,0.1,0.86,0.81,1.2,1.2,0.11,Sand
W174713,56.4,0.86,16,0.1,1.6,5.3,0.07,0.5,0.19,Sand
W174714,57.2,0.87,14.3,0.08,2.6,4.7,0.08,0.62,0.16,Sand
W174715,61.4,0.06,15.8,0.09,1.8,3,0.03,0.67,0.19,Sand
W174717,60.7,0.63,13.2,0.09,2.4,3.4,0.02,1.2,0.22,Sand
W174718,52.4,0.82,16,0.16,3,3.8,0.02,1.7,0.22,Sand
W174719,60.9,0.71,14.9,0.08,2.7,2.7,0.24,1.2,0.21,Sand
W174720,60.7,0.62,15.3,0.08,2.3,2.9,0.02,1.7,0.18,Sand
W174721,51.7,0.78,18.9,0.08,2.8,4.2,0.05,1.3,0.27,Sand
W174724,58.7,0.75,15,0.09,2.1,4,0.02,0.44,0.17,Sand
W174728,50.5,0.52,14.5,0.08,3.7,6.9,0.1,0.84,0.17,Sand
W174729,63,0.51,15.6,0.09,0.4,3.5,0.02,0.59,0.17,Sand
W174730,57,0.72,17,0.1,0.31,6.4,0.03,0.7,0.19,Sand
W174731,62.1,0.82,15.4,0.1,2.3,3.3,3.2,1.5,0.17,Sand
W174732,63.1,0.73,16.5,0.08,2.4,3.1,3.9,1.5,0.17,Sand
W174733,63.4,0.82,15.3,0.09,2.3,3.2,3.9,1.9,0.16,Sand
W174734,61.4,0.72,16.4,0.3,2.6,3.6,4.2,2,0.18,Sand
W176331,54,1.4,25,0.12,0.67,5.5,4.1,3,0.39,Sand
W176332,58.3,0.88,16.8,0.19,2.9,4.1,2.1,0.58,0.24,Sand
W176335,56.2,1.2,16.8,0.21,3.9,3.7,2.4,0.9,0.27,Sand
W177999,79.7,0.6,10,0.05,0.7,0.4,1.3,1.8,0.07,Sand
W178000,46.4,0.44,6.3,0.22,1.5,20.1,1.1,1.3,0.13,Sand
W177995,98.4,0.31,4.5,0.03,0.18,0.02,0.35,0.37,0.05,Sand
W178001,45.9,0.58,7.8,0.17,0.88,19,1.2,1.3,0.18,Sand
W178002,74.5,0.83,10.3,0.1,0.69,0.55,1.5,1.7,0.23,Sand
W182448,68.9,0.91,15.5,0.03,0.55,0.14,4.3,2.6,0.03,Sand
W182449,70.3,1,13.3,0.09,1.1,0.83,4.6,1.6,0.31,Sand
W182462,73.8,1.4,8.1,0.26,2.3,0.96,1.7,1.3,0.26,Sand
W182467,75.9,1.2,10.4,0.08,0.82,0.15,2.1,1.4,0.08,Sand
W182476,76.7,0.77,11.1,0.02,0.58,0.77,2.9,1.7,0.15,Sand
W182477,65.5,1.4,11.5,0.05,0.98,4,2.1,2.6,0.2,Sand
W182478,58.7,1.2,10.4,0.09,1.1,8.9,1.9,2.4,0.19,Sand
W182480,66.6,1.8,12.8,0.11,0.93,0.52,2.3,3,0.26,Sand
W182481,62,1.6,11.3,0.07,1.7,5.3,2.2,2.4,0.28,Sand
W182482,61.2,1.4,11.8,0.07,1.8,5.9,2.1,2.6,0.21,Sand
W182485,70.5,1.5,12.3,0.08,1.8,0.83,3.1,2,0.22,Sand
W182486,62.7,1.2,12.2,0.1,1.8,4.8,2.3,2.6,0.2,Sand
W182487,48.7,1.9,10.2,0.13,2.4,12.1,2.4,1.9,0.21,Sand
W182489,79.8,0.77,10.8,0.1,0.27,0.33,0.05,1.2,0.21,Sand
W182491,73.7,0.85,13.3,0.04,0.36,0.51,5.6,0.73,0.17,Sand
W182494,74.3,0.77,13.4,0.09,0.96,0.77,4.7,0.7,0.35,Sand
W184980,69.5,0.53,12.7,0.03,0.82,0.27,0.84,7.5,0.09,Sand
W184981,67.9,0.82,13.4,0.03,0.81,0.47,0.55,7.4,0.35,Sand
W184987,60.2,0.7,16.6,0.04,2.1,0.92,0.74,9.1,0.24,Sand
W184990,67.9,0.73,12.7,0.04,1.1,1.2,0.1,9.9,0.32,Sand
W188581,71.1,0.38,14.8,0.03,1.5,1.8,4.2,2.3,0.11,Sand
W188584,71,0.53,13.3,0.06,1.8,2.3,3.1,1.7,0.13,Sand
W188582,66.1,0.61,15.5,0.09,2.3,3.2,4,1.2,0.17,Sand
W188583,66.2,0.55,16.1,0.06,2.2,0.7,3.5,2.3,0.2,Sand
W188577,70.8,0.43,14.4,0.06,1.6,1.2,3.6,2.2,0.13,Sand
W188578,71.5,0.5,13.7,0.05,2.3,1.1,4.3,1.3,0.1,Sand
W188579,70.7,0.45,14.3,0.05,1.6,2.2,3.9,2.1,0.13,Sand
W188580,59.7,0.51,12.4,0.16,1,10.6,3.6,1.4,0.17,Sand
W188585,70.4,0.55,13.5,0.06,1.9,2,3.9,1.3,0.15,Sand
W188586,68.5,0.56,14.3,0.07,2,2.9,3.7,1.8,0.16,Sand
W188587,58,0.61,10.4,0.18,2.6,11.1,1.8,1.4,0.16,Sand
W188588,70.8,0.51,14.3,0.04,2,0.9,3.8,2.2,0.13,Sand
W188589,72.6,0.46,10.8,0.04,4.3,1.5,2.3,1.4,0.11,Sand
W188590,67.5,0.76,13.7,0.07,2.5,2.9,3,0.92,0.17,Sand
W188591,76,0.39,11.8,0.04,1.4,1.4,2.4,2.7,0.08,Sand
W188592,76.3,0.35,13.1,0.03,1.2,0.88,4.7,1.1,0.1,Sand
W188593,74,0.37,13.3,0.04,0.95,1.5,4.3,2,0.12,Sand
W188594,72,0.38,14.1,0.02,1.2,2.3,4.2,1.8,0.12,Sand
W188595,67.3,0.66,15.2,0.05,2.3,2.2,3.6,2,0.18,Sand
W188596,67.3,0.63,16,0.03,1.6,1.8,3.2,2.4,0.2,Sand
W188597,69.1,0.65,13.5,0.05,2.6,1.6,2.6,1.6,0.12,Sand
W188598,64.6,0.56,14.4,0.06,2.2,4.7,3.3,1.2,0.17,Sand
W188599,69.7,0.46,15.1,0.04,1.7,1.9,3.4,2.6,0.12,Sand
W188600,72,0.39,13.3,0.02,1.2,2.3,2.8,2.4,0.1,Sand
W188601,69.6,0.61,13.7,0.05,2.6,1.4,2.6,1.3,0.1,Sand
W188602,70.4,0.63,14,0.03,2.6,2.1,2.9,1.7,0.13,Sand
W188604,74.7,0.61,11.3,0.02,1.2,0.79,1.8,0.98,0.11,Sand
W188605,73,0.56,12.1,0.05,2.5,1.4,2.7,1.6,0.09,Sand
W188606,70.7,0.58,14,0.03,2,1.8,3.2,1.5,0.16,Sand
W188607,67,0.69,14.3,0.07,3.3,0.97,3.8,1.7,0.14,Sand
W188608,60.6,0.65,15,0.1,3,5,5.7,1.3,0.23,Sand
W188609,61.7,0.71,16.9,0.05,3,3.8,3.8,1.4,0.26,Sand
W188610,65.7,0.6,15,0.08,2.5,3,4,1.5,0.17,Sand
W188611,69.7,0.61,13.5,0.06,2.7,1.4,3.5,1.5,0.14,Sand
W188612,71.9,0.51,12.8,0.05,2.4,2.1,2.8,1.4,0.09,Sand
W188613,70.3,0.55,13.5,0.05,2.9,2,2.9,1.6,0.11,Sand
W188614,71.7,0.36,14,0.03,1.2,2.6,4.5,2,0.11,Sand
W188615,67.7,0.48,12.1,0.07,2.2,5.4,2.8,1.6,0.1,Sand
W188616,67,0.49,14.3,0.06,2.1,2.7,5.3,1.3,0.18,Sand
W188617,72.2,0.59,12.4,0.04,2.5,1,2.5,1.9,0.2,Sand
W188618,66.3,0.7,14.2,0.03,2.9,2.3,1.7,2.4,0.16,Sand
W188619,70.9,0.61,13,0.03,2.4,1.8,2.6,1.4,0.13,Sand
W188620,70.4,0.65,12.1,0.03,2.6,1.8,2.3,1.6,0.14,Sand
W188621,70.1,0.55,13.8,0.05,2.3,1,4,1.6,0.11,Sand
W188622,72.2,0.4,14.2,0.02,1.4,1.6,4.1,2.4,0.11,Sand
W188623,69.4,0.62,12.1,0.05,4.3,1.4,3.2,1.2,0.15,Sand
W188624,70,0.42,13.2,0.03,1.3,4.2,3.2,2.5,0.12,Sand
W188625,70.2,0.59,13.3,0.04,2.3,2.2,2.7,1.7,0.13,Sand
W188626,63.2,0.79,14.5,0.07,3.5,2.6,5,1.5,0.26,Sand
W188627,71.3,0.59,13.5,0.04,2.1,1.7,3.6,1.5,0.14,Sand
W188628,71.4,0.61,13.6,0.05,1.9,1,3.3,1.6,0.15,Sand
W188629,66.5,0.62,14,0.05,3,2.2,3.7,1.7,0.14,Sand
W188630,70.7,0.55,12.7,0.04,1.7,2.2,3.2,1.7,0.15,Sand
W188631,71.9,0.41,13.6,0.02,1,1.5,4,1.4,0.12,Sand
W188632,72,0.38,12.5,0.03,1.3,2.4,2.9,2.6,0.11,Sand
W188633,70.1,0.68,14.1,0.05,2.3,0.7,3.3,1.4,0.12,Sand
W188634,70.8,0.56,14,0.04,1.7,1.4,4,1.4,0.15,Sand
W188635,70.3,0.64,12.6,0.05,2.7,2,2.6,1.4,0.11,Sand
W188636,70.3,0.56,12.4,0.05,3.4,2.3,2.6,1.6,0.13,Sand
W188637,69.8,0.56,13.1,0.07,3.6,2,2.9,1.4,0.11,Sand
W188638,72,0.4,12.4,0.05,1.1,3.7,4.8,0.46,0.1,Sand
W188640,72.6,0.56,11.8,0.04,3.1,1.7,2.5,1.2,0.09,Sand
W188643,69.5,0.62,14.7,0.04,1.8,1.9,3.3,2.4,0.17,Sand
W188645,72.3,0.42,13.4,0.03,1.3,1.1,4.3,1.3,0.16,Sand
W188647,65,0.77,14.5,0.07,3.5,3.6,2.9,1.2,0.2,Sand
W188661,64.4,0.63,11.9,0.07,2.4,4.3,2.9,1.2,0.3,Sand
W188662,64.1,0.55,14.8,0.06,2.2,3.1,3.7,1.5,0.17,Sand
W188663,65.7,0.61,14.5,0.07,1.8,3.1,4.2,1.7,0.17,Sand
W188664,67.2,0.59,12.5,0.07,2.9,1.6,2.7,1.4,0.15,Sand
W188665,63.9,0.55,11.7,0.07,3.7,3.8,2.5,1.3,0.14,Sand
W192447,75.1,0.26,10.8,0.04,0.37,1.6,1.9,3,0.06,Sand
W192496,72.1,0.3,12.5,0.01,0.28,0.81,2.1,3.5,0.06,Sand
W192510,68.4,0.24,12.4,0.17,0.09,1.5,2.3,2.5,0.04,Sand
W193238,65.7,0.15,12.3,0.09,0.06,3.6,0.95,2.3,0.04,Sand
W193240,72.1,0.28,9.3,1.5,0.28,0.93,1.1,2.6,0.06,Sand
W193257,70.9,0.63,12.9,0.04,2,0.46,3.4,1.6,0.12,Sand
W193532,7.7,0.03,2.3,0.01,16.9,30.5,0.08,0.69,2.9,Sand
W193538,67.7,0.48,6.4,0.01,3.8,5.5,0.43,2.3,0.14,Sand
W195962,65,0.45,11.8,0.23,0.93,6.5,2.3,1.5,0.15,Sand
W197663,48,0.3,3.1,0.02,0.63,23,0.46,1,0.09,Sand
W198612,56.9,0.35,11.9,0.38,1.2,11.8,3,2.1,0.16,Sand
W198613,34.8,0.43,8,0.27,1.9,18.9,1.8,1.6,0.31,Sand
W198614,45.4,0.78,8.7,0.12,1.1,19.1,1.9,1.5,0.17,Sand
W198615,65.5,0.86,11,0.09,2.3,3.2,2.2,1.2,0.09,Sand
W198616,54.4,0.6,9.9,0.28,2.1,11.8,1.3,0.88,0.13,Sand
W198617,61.8,0.62,11.8,0.17,1.9,6.6,2.2,1.6,0.16,Sand
W198618,72.6,0.86,11.1,0.02,2,1,1.6,1.3,0.08,Sand
W198619,70.4,0.56,9.7,0.07,2,3,2.2,0.98,0.16,Sand
W198620,63,0.52,12.1,0.13,2.2,5.8,3,1.4,0.21,Sand
W198621,64,0.64,13,0.08,2.4,4.2,3.3,1.6,0.17,Sand
W198622,59.4,0.48,12.5,0.27,2,7.3,2.9,1.7,0.2,Sand
W198623,65.9,0.49,12.2,0.28,2.4,3.9,2.6,1.3,0.09,Sand
W198624,55.4,0.41,10,0.34,1.5,13.6,2.5,0.83,0.31,Sand
W198625,65,0.66,10.1,0.13,2.6,7,2.3,0.46,0.06,Sand
W198626,71.8,0.6,8.8,0.17,1.8,4.3,1.5,0.95,0.14,Sand
W198627,46.1,0.43,7.2,0.21,2.5,18.4,1.3,0.72,0.16,Sand
W198628,66.4,0.56,13,0.03,3,1.6,3,1.4,0.12,Sand
W198629,67,0.53,12.6,0.04,2.5,3.7,3,1.5,0.22,Sand
W198630,68.9,0.51,12.9,0.04,2.5,2,3.1,1.5,0.13,Sand
W198631,42.2,0.47,9.2,0.32,2.2,19.9,1.7,0.38,0.17,Sand
W198632,62.9,0.58,10.7,0.09,2.8,7,2.3,0.59,0.15,Sand
W198633,77,0.47,8.5,0.04,1.7,0.5,1.6,0.9,0.12,Sand
W198635,68.3,0.59,13.5,0.07,1.4,1.2,3.4,2.8,0.15,Sand
W198636,53.1,0.48,9.7,0.39,1.2,14.9,2.2,1.8,0.13,Sand
W198637,69.2,0.66,12.3,0.03,2.5,1.8,2.5,2.1,0.13,Sand
W198638,69.9,0.57,11.7,0.04,3.7,2.2,2.9,1.2,0.11,Sand
W198639,68.7,0.67,12.3,0.06,3.5,2.6,2.8,1.2,0.16,Sand
W198640,52.1,0.39,9.9,0.2,1.3,15.5,2.9,1.9,0.14,Sand
W198641,51.2,0.55,9.1,0.37,1.8,16.5,1.6,0.99,0.16,Sand
W198642,69.1,0.64,11.4,0.04,1.5,2.8,2.9,1.9,0.17,Sand
W198643,62.8,0.98,11.4,0.06,4.3,1.7,1.9,0.52,0.16,Sand
W198644,38,0.48,8.6,0.43,2.2,24.5,1.4,0.25,0.14,Sand
W198645,59.2,0.64,11.7,0.12,4.3,5.2,2,0.88,0.13,Sand
W198646,67.8,0.71,11.9,0.06,3.7,2.1,2.2,1.2,0.11,Sand
W198647,44.6,0.41,8.2,0.13,2.5,19.4,1.8,0.78,0.18,Sand
W198648,45.5,0.63,11.4,0.29,2.3,16.3,1.9,0.79,0.12,Sand
W198649,45.3,0.6,10.3,0.3,2.2,17,2.1,0.62,0.32,Sand
W198650,59.5,0.64,14,0.05,4.1,1.5,2.4,0.5,0.14,Sand
W198651,58.9,0.71,13.4,0.08,4.2,3.2,2.7,0.52,0.16,Sand
W198652,65.4,0.61,10.2,0.11,3.2,4.4,2.2,0.69,0.39,Sand
W198653,63.1,0.62,12.2,0.08,3.2,3.7,3,0.98,0.44,Sand
W198654,72.1,0.53,10.8,0.03,3.3,0.46,2.6,0.69,0.41,Sand
W198655,63.4,0.74,13.6,0.03,4.4,0.34,2.5,1.1,0.43,Sand
W198656,65.7,0.67,12.2,0.04,3.5,2.7,2.7,1.2,0.42,Sand
W198657,47.4,0.5,8.9,0.21,2.3,17.4,1.9,0.88,0.42,Sand
W198658,55.5,0.62,11.4,0.34,2.1,9.2,2.2,1.4,0.21,Sand
W198659,59.9,0.95,11.4,0.11,2.4,5.8,2.2,1.1,0.23,Sand
W198660,48.3,0.64,10.5,0.25,2.1,15.4,2.1,1.1,0.38,Sand
W198661,68.9,0.78,13,0.05,1.3,1.1,2.8,2,0.44,Sand
W198662,61.7,0.86,14,0.02,1.7,2.4,2.6,2.2,0.4,Sand
W198663,63.1,0.75,12.8,0.07,2.2,3.1,2.9,1.6,0.4,Sand
W198664,40.5,1.1,13.1,0.29,3,18,1,0.41,0.34,Sand
W198665,41.9,0.59,10.9,0.28,2.5,18.2,1.8,0.72,0.37,Sand
W198666,65.1,0.56,12,0.03,3.8,1.6,2.2,1,0.38,Sand
W198667,66.8,0.44,10,0.11,2,5.1,1.7,0.68,0.4,Sand
W198668,53.5,0.6,11.2,0.2,1.6,11.8,1.8,1.2,0.43,Sand
W198669,62.2,0.71,13,0.05,3.6,2,2.7,0.94,0.43,Sand
W198673,31.5,0.38,7,0.28,2.8,24.5,1.1,0.33,0.57,Sand
W198674,38.4,0.58,8.9,0.4,1.9,21.5,1.4,0.34,0.38,Sand
W198675,64.1,0.44,7.5,0.15,2.9,7.9,1.6,0.71,0.42,Sand
W198676,48.1,0.91,10.1,0.26,4.5,12.6,2.2,0.98,0.43,Sand
W198677,50.6,0.46,9.5,0.18,2.8,13.6,2.6,0.81,0.47,Sand
W198678,67.2,0.55,10.4,0.04,4.2,1.7,2.3,1,0.37,Sand
W198679,55.5,0.56,9.4,0.2,3.1,10.8,2.2,0.71,0.29,Sand
W198680,57.6,0.77,11.3,0.17,3.4,5.3,2,0.82,0.26,Sand
W198681,63.7,0.89,11.9,0.07,3.4,3.2,2.8,1.1,0.22,Sand
W198682,80,0.35,7.5,0.03,1.4,0.77,1.8,0.78,0.17,Sand
W198683,51.8,0.51,9,0.21,1.5,14.9,1.6,0.95,0.21,Sand
W198684,61,0.62,12.2,0.05,3.6,1.2,2.4,0.89,0.24,Sand
W198685,60.8,0.71,14.5,0.08,3.4,3.5,3.5,0.83,0.27,Sand
W198686,68.3,0.4,10.5,0.05,2.1,1.5,1.7,0.5,0.22,Sand
W198687,43.8,0.51,9.7,0.38,2.3,17.7,1.4,0.73,0.41,Sand
W198688,26.5,0.35,7.8,0.53,1.4,29.8,0.77,0.49,1,Sand
W198689,44.5,0.59,10.8,0.2,1.2,18,1.8,1.9,0.25,Sand
W198690,57.3,0.3,8.2,0.21,0.88,13.6,1.5,0.76,0.21,Sand
W198691,54,0.78,11,0.44,2.2,12.1,1.8,0.87,0.27,Sand
W198692,45.3,0.46,9.1,0.45,2.6,18.5,1.8,0.89,0.2,Sand
W198693,49.2,0.5,9.1,0.24,1.5,16.2,1.9,2,0.2,Sand
W198694,50.5,0.56,10,0.46,1.2,15,2,2.1,0.22,Sand
W198695,36.4,0.4,6.8,0.21,2.1,24.7,1.2,0.74,1.3,Sand
W198696,43.1,0.44,8,0.3,2.8,20.2,1.9,0.83,0.23,Sand
W198697,42.4,0.46,9.3,0.4,1.8,19.4,2,1.2,0.28,Sand
W198698,53.3,0.45,10.9,0.2,1.5,12.6,2.4,1.6,0.33,Sand
W198699,45.5,0.64,9.9,0.42,2.3,18,2.1,0.85,0.26,Sand
W198700,64.1,0.78,13.4,0.07,2.2,4,2.6,1.1,0.29,Sand
W198701,68.1,0.66,12.3,0.08,2.3,3.3,2,1,0.22,Sand
W198702,48.6,0.46,9.1,0.3,1.6,15.5,1.5,1.3,0.26,Sand
W198703,45.1,0.47,8.6,0.34,0.89,19,1.7,2.1,0.24,Sand
W198704,60.3,0.49,11.7,0.15,1.2,6.7,2.4,3,0.25,Sand
W198705,64.7,0.46,9.1,0.12,1.5,4.9,1.6,0.64,0.2,Sand
W198706,18.5,0.3,6,0.47,1.8,33.5,0.47,0.37,1.1,Sand
W198707,54.5,1,10.4,0.17,3.7,6.8,1.4,0.61,0.23,Sand
W198708,64.6,0.7,12.1,0.08,3.4,1.2,2,1.1,0.24,Sand
W198709,65.5,0.67,11.8,0.05,3.8,1.8,1.8,0.95,0.22,Sand
W198710,46.8,0.52,8.7,0.36,2.5,17.4,1.7,0.9,0.19,Sand
W198711,66.4,0.67,12.1,0.05,3.4,1.5,2.7,1.4,0.23,Sand
W198712,58.9,0.63,12.1,0.1,2.5,6.6,3.1,0.38,0.21,Sand
W198713,56.8,0.74,15,0.1,3.7,3.2,3,0.91,0.28,Sand
W198714,51.2,0.55,11.3,0.38,1.4,13.3,3,1.3,0.26,Sand
